"","kreis","kreisnummer","total","age_under_20","age_20_30","age_30_40","age_40_50","age_50_60","age_60_70","age_70_80","age_over_80"
"21","Lüchow-Dannenberg","354",48357,0.17273610852617,0.0864611121450876,0.0970697106933846,0.118700498376657,0.173066980995513,0.149120086026842,0.122526211303431,0.0803192919329156
"22","Lüneburg","355",182930,0.196998852019898,0.122937735745914,0.120024052916416,0.137178155578637,0.164019023670256,0.115453998797354,0.0893019187667414,0.0540862625047833
"23","Osterholz","356",113105,0.189770567172097,0.0920295300826666,0.105556783519738,0.135405154502453,0.178648158790504,0.129180849652977,0.108615887891782,0.0607930683877813
"24","Rotenburg (Wümme)","357",163377,0.196692312871457,0.112255703067139,0.111747675621415,0.133519406036345,0.17163982690342,0.124485086640102,0.0923202164319335,0.0573397724281876
"25","Heidekreis","358",139099,0.191410434294999,0.111805261001157,0.109878575690695,0.12912386142244,0.168721558027017,0.124688171733801,0.0980308988562103,0.0663412389736806
"26","Stade","359",201887,0.199512598631908,0.11104231575089,0.116357170100106,0.133564815961404,0.164532634592619,0.121340155631616,0.0977675630426922,0.0558827462887655
"27","Uelzen","360",92744,0.174717501940826,0.102324678685414,0.0987988441300785,0.129560941947727,0.174027430345898,0.135038385232468,0.109645907012853,0.0758863107047356
"28","Verden","361",136590,0.198616296947068,0.104839300095175,0.111684603558094,0.131056446299143,0.167442711765137,0.128882055787393,0.0988066476315982,0.0586719379163921
"29","Delmenhorst,Stadt","401",77521,0.194721430322106,0.122405541724178,0.11492369809471,0.127539634421641,0.158305491415229,0.12225074495943,0.101262883605733,0.058590575456973
"30","Emden,Stadt","402",50607,0.190941964550359,0.143003932262335,0.119963641393483,0.127492244155947,0.148121801331832,0.118896595332661,0.0920228426897465,0.0595569782836367
"31","Oldenburg(Oldb),Stadt","403",167081,0.1781231857602,0.164315511638068,0.134976448548907,0.126357874324429,0.149376649648973,0.109048904423603,0.085198197281558,0.0526032283742616
"32","Osnabrück,Stadt","404",164374,0.173847445459744,0.190833100125324,0.134419068709163,0.12329200481828,0.13685862727682,0.100466010439607,0.0820689403433633,0.0582148028276978
"33","Wilhelmshaven,Stadt","405",76316,0.164015409612663,0.144858221080769,0.101669374705173,0.109636249279312,0.154738193825672,0.128164474029037,0.121167251952408,0.0757508255149641
"34","Ammerland","451",123377,0.197492239234217,0.100999375896642,0.107986091410879,0.134263274354215,0.166870648500126,0.127009085972264,0.104800732713553,0.0605785519181047
"35","Aurich","452",189949,0.191335569021158,0.110408583356585,0.104896577502382,0.133325260991108,0.166234094414817,0.136178658482014,0.100353252715202,0.0572680035167334
"36","Cloppenburg","453",167925,0.232103617686467,0.132725919309215,0.12434717880006,0.132892660413875,0.157242816733661,0.105731725472681,0.0674646419532529,0.0474914396307876
"37","Emsland","454",323636,0.207455289275606,0.122718115413613,0.122449294886848,0.135646219827213,0.160739225549692,0.118407717312042,0.0815175073230419,0.0510666304119443
"38","Friesland","455",98509,0.1828360860429,0.0970571216843131,0.0966612187718889,0.12658741840847,0.171293993442224,0.13524652569816,0.120090550102021,0.0702270858500239
"39","Grafschaft Bentheim","456",135859,0.205948814579822,0.113765006366895,0.113028949131084,0.133763681463871,0.165171243715911,0.122008847407974,0.0873405516012925,0.0589729057331498
"40","Leer","457",168946,0.198335562842565,0.115273519349378,0.113574751695808,0.132829424786618,0.164040581014052,0.125466125270797,0.0946397073621157,0.0558403276786666
"41","Oldenburg","458",129924,0.198469874695976,0.10215202733906,0.107470521227795,0.138688771897417,0.17904313290847,0.122348449862997,0.0942935870201041,0.057533635048182
"42","Osnabrück","459",356140,0.203324535295109,0.111621834110181,0.111955972370416,0.13306845622508,0.169629920817656,0.120958050204976,0.087552647835121,0.0618885831414612
"43","Vechta","460",140540,0.225309520421232,0.13869361036004,0.127002988473033,0.134153977515298,0.15840330155116,0.104183862245624,0.0659883307243489,0.0462644087092643
"44","Wesermarsch","461",89022,0.186672957246523,0.108051942216531,0.0990878659207836,0.129473613264137,0.175585810249152,0.131832580710386,0.103581137246973,0.0657140931455146
"45","Wittmund","462",56731,0.188785672736246,0.104316863795808,0.0999277291075426,0.127989987837338,0.166963388623504,0.140522818212265,0.1071195642594,0.0643739754278966
