"","Kennziffer","SMR"
"1","461",21.3430387993979
"2","360",16.1735530061244
"3","153",15.9926724482601
"4","151",14.850438944705
"5","103",14.5262036573753
"6","354",14.4756705337387
"7","257",13.934369121438
"8","241",13.7072461882144
"9","157",13.4964909123628
"10","352",13.1246845027764
"11","457",13.0219123270157
"12","403",12.5687540773637
"13","251",12.4993055941337
"14","351",12.3067284240675
"15","358",12.2215112977088
"16","459",11.7931150671084
"17","361",11.7138882787905
"18","458",11.5452110464579
"19","355",11.4798010167824
"20","455",11.1664924017095
"21","452",11.0555991345045
"22","357",11.0174626783452
"23","159",10.9744052482045
"24","454",10.8146188928302
"25","155",10.5226763675721
"26","405",10.4827297028146
"27","359",10.4018584653791
"28","404",10.3422682419361
"29","401",10.3197843165078
"30","254",10.1214574898785
"31","154",9.81247274313127
"32","451",9.72628609870559
"33","356",9.72547632730648
"34","252",9.44057830285375
"35","101",9.27333352148793
"36","256",8.23248538733844
"37","353",7.1567446354235
"38","102",6.69548915330757
"39","456",5.88845788648525
"40","460",5.69232958588302
"41","158",4.98185773474929
"42","255",4.21679973012482
"43","453",4.16852761649546
"44","462",1.7627046940826
"45","402",0
