Alter;Insg;Männlich;Weiblich
                         20 - 30;14;12;2
                         30 - 40;17;9;8
                         40 - 50;88;51;37
                         50 - 60;227;139;88
                         60 - 70;397;241;156
                         70 - 80;864;519;345
                         80 u.ä.;2143;834;1309
255     Holzminden               ;;;
                         Insgesamt;1056;518;538
                         u. 1 Jahr;3;2;1
                          1 - 15;-;-;-
                         15 - 20;1;-;1
                         20 - 30;2;2;-
                         30 - 40;6;5;1
                         40 - 50;13;8;5
                         50 - 60;54;39;15
                         60 - 70;126;83;43
                         70 - 80;254;140;114
                         80 u.ä.;597;239;358
256     Nienburg (Weser)         ;;;
                         Insgesamt;1591;773;818
                         u. 1 Jahr;4;2;2
                          1 - 15;1;1;-
                         15 - 20;3;-;3
                         20 - 30;7;6;1
                         30 - 40;17;11;6
                         40 - 50;34;19;15
                         50 - 60;91;57;34
                         60 - 70;201;133;68
                         70 - 80;330;201;129
                         80 u.ä.;903;343;560
257     Schaumburg               ;;;
                         Insgesamt;2277;1095;1182
                         u. 1 Jahr;12;9;3
                          1 - 15;1;-;1
                         15 - 20;2;2;-
                         20 - 30;9;4;5
                         30 - 40;13;8;5
                         40 - 50;45;30;15
                         50 - 60;132;79;53
                         60 - 70;251;155;96
                         70 - 80;497;271;226
                         80 u.ä.;1315;537;778
3       Lüneburg                 ;;;
                         Insgesamt;20297;10090;10207
                         u. 1 Jahr;63;44;19
                          1 - 15;24;14;10
                         15 - 20;24;14;10
                         20 - 30;62;50;12
                         30 - 40;127;86;41
                         40 - 50;369;228;141
                         50 - 60;1302;809;493
                         60 - 70;2411;1527;884
                         70 - 80;4817;2887;1930
                         80 u.ä.;11098;4431;6667
351     Celle                    ;;;
                         Insgesamt;2234;1082;1152
                         u. 1 Jahr;8;8;-
                          1 - 15;6;4;2
                         15 - 20;2;-;2
                         20 - 30;9;9;-
                         30 - 40;15;12;3
                         40 - 50;29;20;9
                         50 - 60;141;86;55
                         60 - 70;254;159;95
                         70 - 80;498;282;216
                         80 u.ä.;1272;502;770
352     Cuxhaven                 ;;;
                         Insgesamt;2730;1354;1376
                         u. 1 Jahr;8;7;1
