Kreise;Insgesamt;Männlich;Weiblich
0       Niedersachsen            ;;;
 ;;;
            14 - 15;1333;695;638
            15 - 16;1384;708;676
            16 - 17;1477;800;677
            17 - 18;1628;868;760
            18 - 19;1537;787;750
            19 - 20;1476;791;685
            20 - 21;1425;802;623
            21 - 22;1410;763;647
            22 - 23;1249;656;593
            23 - 24;1318;724;594
            24 - 25;1311;699;612
            25 - 26;1248;664;584
            26 - 27;1290;651;639
            27 - 28;1282;657;625
            28 - 29;1344;697;647
            29 - 30;1442;744;698
            30 - 31;1444;709;735
            31 - 32;1393;713;680
            32 - 33;1449;735;714
            33 - 34;1422;722;700
            34 - 35;1501;763;738
            35 - 36;1446;691;755
            36 - 37;1599;771;828
            37 - 38;1572;787;785
            38 - 39;1528;744;784
            39 - 40;1535;749;786
            40 - 41;1526;739;787
            41 - 42;1522;751;771
            42 - 43;1517;773;744
            43 - 44;1602;790;812
            44 - 45;1605;755;850
            45 - 46;1794;912;882
            46 - 47;2027;987;1040
            47 - 48;2145;1085;1060
            48 - 49;2299;1164;1135
            49 - 50;2331;1199;1132
            50 - 51;2521;1251;1270
            51 - 52;2542;1300;1242
            52 - 53;2471;1314;1157
            53 - 54;2428;1233;1195
            54 - 55;2476;1240;1236
            55 - 56;2315;1152;1163
            56 - 57;2230;1125;1105
            57 - 58;2141;1072;1069
            58 - 59;1970;1018;952
            59 - 60;1986;1042;944
            60 - 61;1881;951;930
            61 - 62;1792;866;926
            62 - 63;1742;886;856
            63 - 64;1688;819;869
            64 - 65;1584;761;823
            65 - 66;1582;781;801
            66 - 67;1548;732;816
            67 - 68;1570;796;774
            68 - 69;1491;690;801
            69 - 70;1355;691;664
            70 - 71;1272;593;679
            71 - 72;1111;543;568
            72 - 73;883;424;459
            73 - 74;1218;572;646
            74 - 75;1256;628;628
            75 - 76;1204;564;640
            76 - 77;1447;664;783
            77 - 78;1480;643;837
            78 - 79;1375;636;739
            79 - 80;1291;597;694
            80 - 81;1143;473;670
            81 - 82;1056;439;617
            82 - 83;1046;461;585
            83 - 84;899;360;539
            84 - 85;610;241;369
            85 - 86;542;187;355
            86 - 87;537;200;337
            87 - 88;518;173;345
            88 - 89;434;145;289
            89 - 90;366;116;250
            90 - 91;308;85;223
            91 - 92;270;69;201
            92 - 93;203;57;146
            93 - 94;152;26;126
            94 - 95;108;28;80
            95 - 96;97;13;84
            96 - 97;74;12;62
            97 - 98;38;5;33
            98 - 99;24;5;19
            99 - 100;12;2;10
            100 und älter;30;1;29
158     Wolfenbüttel             ;;;
 ;;;
            Insgesamt;120437;59569;60868
 ;;;
             0 -  1;971;472;499
             1 -  2;1000;517;483
             2 -  3;1017;517;500
             3 -  4;984;515;469
             4 -  5;914;458;456
             5 -  6;988;502;486
             6 -  7;989;479;510
             7 -  8;1006;530;476
             8 -  9;963;487;476
             9 - 10;991;501;490
            10 - 11;1033;560;473
            11 - 12;1049;539;510
            12 - 13;1016;529;487
            13 - 14;1165;607;558
            14 - 15;1127;587;540
            15 - 16;1145;585;560
            16 - 17;1312;678;634
            17 - 18;1303;709;594
            18 - 19;1370;744;626
            19 - 20;1388;715;673
            20 - 21;1340;739;601
            21 - 22;1321;712;609
            22 - 23;1254;650;604
            23 - 24;1206;657;549
            24 - 25;1222;664;558
            25 - 26;1209;650;559
            26 - 27;1286;707;579
            27 - 28;1229;674;555
            28 - 29;1213;600;613
            29 - 30;1254;639;615
            30 - 31;1206;641;565
            31 - 32;1292;698;594
            32 - 33;1200;620;580
            33 - 34;1145;596;549
            34 - 35;1239;649;590
            35 - 36;1286;628;658
            36 - 37;1269;614;655
            37 - 38;1292;629;663
            38 - 39;1299;619;680
            39 - 40;1305;648;657
            40 - 41;1356;647;709
            41 - 42;1333;674;659
            42 - 43;1243;593;650
            43 - 44;1307;634;673
            44 - 45;1391;646;745
            45 - 46;1555;775;780
            46 - 47;1804;887;917
            47 - 48;1846;869;977
            48 - 49;2022;1032;990
            49 - 50;2149;1116;1033
            50 - 51;2235;1091;1144
            51 - 52;2400;1192;1208
            52 - 53;2205;1160;1045
            53 - 54;2301;1188;1113
            54 - 55;2159;1074;1085
            55 - 56;2080;1069;1011
            56 - 57;2074;1034;1040
            57 - 58;1979;975;1004
            58 - 59;1953;973;980
            59 - 60;1804;912;892
            60 - 61;1824;915;909
            61 - 62;1753;879;874
            62 - 63;1552;794;758
            63 - 64;1555;735;820
            64 - 65;1519;729;790
            65 - 66;1534;776;758
            66 - 67;1529;734;795
            67 - 68;1514;753;761
            68 - 69;1481;732;749
            69 - 70;1359;621;738
            70 - 71;1302;645;657
            71 - 72;1133;570;563
            72 - 73;943;427;516
            73 - 74;1285;596;689
            74 - 75;1229;580;649
            75 - 76;1218;570;648
            76 - 77;1515;740;775
            77 - 78;1480;657;823
            78 - 79;1461;677;784
            79 - 80;1287;609;678
            80 - 81;1158;511;647
            81 - 82;1034;454;580
            82 - 83;959;414;545
            83 - 84;788;328;460
            84 - 85;551;200;351
            85 - 86;547;212;335
            86 - 87;485;161;324
            87 - 88;477;194;283
            88 - 89;408;132;276
            89 - 90;363;103;260
            90 - 91;275;85;190
            91 - 92;224;65;159
            92 - 93;186;57;129
            93 - 94;140;33;107
            94 - 95;115;28;87
            95 - 96;98;19;79
            96 - 97;56;6;50
            97 - 98;52;10;42
            98 - 99;16;3;13
            99 - 100;16;4;12
            100 und älter;22;5;17
159     Göttingen                ;;;
 ;;;
            Insgesamt;328036;161209;166827
 ;;;
             0 -  1;2744;1373;1371
             1 -  2;2910;1492;1418
             2 -  3;2680;1363;1317
             3 -  4;2705;1409;1296
             4 -  5;2541;1362;1179
             5 -  6;2596;1331;1265
             6 -  7;2566;1317;1249
             7 -  8;2571;1338;1233
             8 -  9;2659;1373;1286
             9 - 10;2688;1410;1278
            10 - 11;2753;1421;1332
            11 - 12;2663;1382;1281
            12 - 13;2780;1460;1320
            13 - 14;2830;1412;1418
            14 - 15;2811;1411;1400
            15 - 16;2949;1538;1411
            16 - 17;3002;1556;1446
            17 - 18;3280;1680;1600
            18 - 19;3646;2024;1622
            19 - 20;4115;2099;2016
            20 - 21;4494;2318;2176
            21 - 22;4599;2344;2255
            22 - 23;4757;2436;2321
            23 - 24;4720;2383;2337
            24 - 25;4654;2362;2292
            25 - 26;4690;2438;2252
            26 - 27;4698;2382;2316
            27 - 28;4902;2503;2399
            28 - 29;4448;2335;2113
            29 - 30;4594;2401;2193
            30 - 31;4156;2181;1975
            31 - 32;4124;2147;1977
            32 - 33;3926;1982;1944
            33 - 34;3840;1934;1906
            34 - 35;3795;1906;1889
            35 - 36;3728;1904;1824
            36 - 37;3715;1842;1873
            37 - 38;3583;1725;1858
            38 - 39;3450;1714;1736
            39 - 40;3474;1750;1724
            40 - 41;3323;1611;1712
            41 - 42;3470;1669;1801
            42 - 43;3313;1624;1689
            43 - 44;3419;1705;1714
            44 - 45;3536;1724;1812
            45 - 46;3834;1853;1981
            46 - 47;4122;2038;2084
            47 - 48;4569;2291;2278
            48 - 49;4758;2381;2377
            49 - 50;4965;2489;2476
            50 - 51;5162;2538;2624
            51 - 52;5277;2679;2598
            52 - 53;5263;2572;2691
            53 - 54;5440;2643;2797
            54 - 55;5418;2677;2741
            55 - 56;5245;2621;2624
            56 - 57;5434;2719;2715
            57 - 58;5017;2495;2522
            58 - 59;4972;2478;2494
            59 - 60;4747;2374;2373
            60 - 61;4648;2270;2378
            61 - 62;4369;2185;2184
            62 - 63;4378;2161;2217
            63 - 64;4213;2052;2161
            64 - 65;4045;1933;2112
            65 - 66;3991;2006;1985
            66 - 67;3999;1951;2048
            67 - 68;3907;1909;1998
            68 - 69;3989;1928;2061
            69 - 70;3558;1764;1794
            70 - 71;3225;1566;1659
            71 - 72;2950;1417;1533
            72 - 73;2392;1169;1223
            73 - 74;3220;1525;1695
            74 - 75;3205;1511;1694
            75 - 76;2907;1398;1509
            76 - 77;3608;1649;1959
            77 - 78;3668;1652;2016
            78 - 79;3608;1603;2005
            79 - 80;3242;1488;1754
            80 - 81;2895;1242;1653
            81 - 82;2716;1159;1557
            82 - 83;2420;1009;1411
            83 - 84;2166;917;1249
            84 - 85;1620;627;993
            85 - 86;1490;569;921
            86 - 87;1384;515;869
            87 - 88;1320;452;868
            88 - 89;1110;370;740
            89 - 90;1035;372;663
            90 - 91;822;257;565
            91 - 92;682;178;504
            92 - 93;634;186;448
            93 - 94;449;110;339
            94 - 95;330;59;271
            95 - 96;256;47;209
            96 - 97;167;37;130
            97 - 98;122;17;105
            98 - 99;79;16;63
            99 - 100;29;3;26
            100 und älter;68;11;57
2       Hannover                 ;;;
 ;;;
            Insgesamt;2144120;1050367;1093753
 ;;;
             0 -  1;19516;9966;9550
             1 -  2;20169;10220;9949
             2 -  3;19482;9975;9507
             3 -  4;19237;9932;9305
             4 -  5;18562;9504;9058
             5 -  6;18137;9328;8809
             6 -  7;18224;9345;8879
             7 -  8;18778;9739;9039
             8 -  9;18304;9320;8984
             9 - 10;18984;9758;9226
            10 - 11;19138;9765;9373
            11 - 12;18902;9632;9270
            12 - 13;18926;9702;9224
            13 - 14;19566;10020;9546
            14 - 15;19668;10141;9527
            15 - 16;20234;10498;9736
            16 - 17;20860;10743;10117
            17 - 18;22199;11580;10619
            18 - 19;22486;11768;10718
            19 - 20;23602;12237;11365
            20 - 21;24468;12630;11838
            21 - 22;24497;12760;11737
            22 - 23;24392;12641;11751
            23 - 24;24585;12852;11733
            24 - 25;25421;13163;12258
            25 - 26;25256;12945;12311
            26 - 27;25830;13359;12471
            27 - 28;26927;13833;13094
            28 - 29;26437;13653;12784
            29 - 30;26967;13942;13025
            30 - 31;25964;13288;12676
            31 - 32;25759;13103;12656
            32 - 33;25087;12658;12429
            33 - 34;24972;12573;12399
            34 - 35;25010;12561;12449
            35 - 36;26005;12967;13038
            36 - 37;25730;12708;13022
            37 - 38;25829;12792;13037
            38 - 39;24673;12235;12438
            39 - 40;24677;12229;12448
            40 - 41;24401;12139;12262
            41 - 42;24383;12058;12325
            42 - 43;23996;11997;11999
            43 - 44;24453;12109;12344
            44 - 45;24732;12289;12443
            45 - 46;26937;13557;13380
            46 - 47;29208;14480;14728
            47 - 48;30819;15267;15552
            48 - 49;33908;17116;16792
            49 - 50;35801;17968;17833
            50 - 51;36307;18119;18188
            51 - 52;37587;18944;18643
            52 - 53;36808;18601;18207
            53 - 54;36936;18615;18321
            54 - 55;36393;18409;17984
            55 - 56;35105;17550;17555
            56 - 57;34477;17322;17155
            57 - 58;33086;16606;16480
            58 - 59;31994;15908;16086
            59 - 60;30105;15006;15099
            60 - 61;29632;14764;14868
            61 - 62;28510;14074;14436
            62 - 63;27148;13332;13816
            63 - 64;26384;12781;13603
            64 - 65;25275;12214;13061
            65 - 66;25334;12090;13244
            66 - 67;24836;11924;12912
            67 - 68;24834;12015;12819
            68 - 69;24488;11652;12836
            69 - 70;22639;10898;11741
            70 - 71;20630;9700;10930
            71 - 72;18864;8832;10032
            72 - 73;15358;7198;8160
            73 - 74;20458;9268;11190
            74 - 75;20829;9611;11218
            75 - 76;20018;9274;10744
            76 - 77;24160;10778;13382
            77 - 78;24846;10987;13859
            78 - 79;23673;10336;13337
            79 - 80;22159;9625;12534
            80 - 81;19950;8655;11295
            81 - 82;18189;7662;10527
            82 - 83;16683;6889;9794
            83 - 84;14476;5746;8730
            84 - 85;10384;4026;6358
            85 - 86;9424;3452;5972
            86 - 87;9061;3242;5819
            87 - 88;8532;2982;5550
            88 - 89;7359;2547;4812
            89 - 90;6505;2060;4445
            90 - 91;5316;1657;3659
            91 - 92;4289;1196;3093
            92 - 93;3607;929;2678
            93 - 94;2693;616;2077
            94 - 95;2086;432;1654
            95 - 96;1563;287;1276
            96 - 97;1160;211;949
            97 - 98;779;139;640
            98 - 99;430;60;370
            99 - 100;180;29;151
            100 und älter;483;72;411
241     Hannover,Region          ;;;
 ;;;
            Insgesamt;1152675;563810;588865
 ;;;
             0 -  1;11333;5845;5488
             1 -  2;11448;5791;5657
             2 -  3;11090;5754;5336
             3 -  4;10852;5617;5235
             4 -  5;10374;5364;5010
             5 -  6;10118;5219;4899
             6 -  7;10187;5237;4950
             7 -  8;10461;5392;5069
             8 -  9;10135;5154;4981
             9 - 10;10430;5429;5001
            10 - 11;10461;5351;5110
            11 - 12;10155;5120;5035
            12 - 13;10039;5195;4844
            13 - 14;10272;5273;4999
            14 - 15;10164;5200;4964
            15 - 16;10380;5368;5012
            16 - 17;10679;5487;5192
            17 - 18;11325;5911;5414
            18 - 19;11593;6022;5571
            19 - 20;12347;6288;6059
            20 - 21;13097;6740;6357
            21 - 22;13660;7096;6564
            22 - 23;13854;7249;6605
            23 - 24;14237;7348;6889
            24 - 25;14665;7527;7138
            25 - 26;14745;7517;7228
            26 - 27;15353;7896;7457
            27 - 28;16086;8162;7924
            28 - 29;15898;8091;7807
            29 - 30;16140;8275;7865
            30 - 31;15510;7934;7576
            31 - 32;15487;7790;7697
            32 - 33;15045;7532;7513
            33 - 34;14629;7342;7287
            34 - 35;14878;7445;7433
            35 - 36;15285;7678;7607
            36 - 37;14962;7385;7577
            37 - 38;15078;7367;7711
            38 - 39;14360;7131;7229
            39 - 40;14117;7025;7092
            40 - 41;13894;6892;7002
            41 - 42;13825;6814;7011
            42 - 43;13604;6867;6737
            43 - 44;13742;6816;6926
            44 - 45;13562;6718;6844
            45 - 46;14490;7286;7204
            46 - 47;15420;7749;7671
            47 - 48;16213;8015;8198
            48 - 49;17768;8982;8786
            49 - 50;18680;9477;9203
            50 - 51;18885;9495;9390
            51 - 52;19325;9688;9637
            52 - 53;18945;9533;9412
            53 - 54;19121;9623;9498
            54 - 55;18642;9470;9172
            55 - 56;17954;8876;9078
            56 - 57;17303;8683;8620
            57 - 58;16707;8366;8341
            58 - 59;16322;8053;8269
            59 - 60;15117;7501;7616
            60 - 61;15053;7453;7600
            61 - 62;14507;7110;7397
            62 - 63;13882;6685;7197
            63 - 64;13368;6429;6939
            64 - 65;12625;6010;6615
            65 - 66;12736;5928;6808
            66 - 67;12410;5915;6495
            67 - 68;12323;5898;6425
            68 - 69;12129;5721;6408
            69 - 70;11464;5393;6071
            70 - 71;10555;4883;5672
            71 - 72;9757;4538;5219
            72 - 73;8079;3686;4393
            73 - 74;10761;4843;5918
            74 - 75;10898;4887;6011
            75 - 76;10545;4910;5635
            76 - 77;12673;5548;7125
            77 - 78;12731;5594;7137
            78 - 79;11973;5235;6738
            79 - 80;11259;4877;6382
            80 - 81;10318;4412;5906
            81 - 82;9332;3899;5433
            82 - 83;8474;3502;4972
            83 - 84;7391;2959;4432
            84 - 85;5214;2053;3161
            85 - 86;4690;1722;2968
            86 - 87;4536;1619;2917
            87 - 88;4191;1484;2707
            88 - 89;3655;1278;2377
            89 - 90;3269;1049;2220
            90 - 91;2713;842;1871
            91 - 92;2184;620;1564
            92 - 93;1814;464;1350
            93 - 94;1349;291;1058
            94 - 95;1097;229;868
            95 - 96;767;138;629
            96 - 97;593;101;492
            97 - 98;378;76;302
            98 - 99;225;33;192
            99 - 100;94;12;82
            100 und älter;215;33;182
241001  Hannover,Landeshauptstadt;;;
 ;;;
            Insgesamt;535061;261192;273869
 ;;;
             0 -  1;5547;2914;2633
             1 -  2;5477;2804;2673
             2 -  3;5270;2748;2522
             3 -  4;5079;2644;2435
             4 -  5;4726;2478;2248
             5 -  6;4490;2302;2188
             6 -  7;4523;2352;2171
             7 -  8;4712;2416;2296
             8 -  9;4504;2307;2197
             9 - 10;4561;2353;2208
            10 - 11;4531;2332;2199
            11 - 12;4349;2151;2198
            12 - 13;4335;2239;2096
            13 - 14;4274;2189;2085
            14 - 15;4119;2100;2019
            15 - 16;4282;2230;2052
            16 - 17;4325;2215;2110
            17 - 18;4548;2398;2150
            18 - 19;4821;2456;2365
            19 - 20;5625;2815;2810
            20 - 21;6546;3240;3306
            21 - 22;7349;3686;3663
            22 - 23;7780;3958;3822
            23 - 24;8302;4134;4168
            24 - 25;8779;4347;4432
            25 - 26;8991;4518;4473
            26 - 27;9502;4789;4713
            27 - 28;9852;4919;4933
            28 - 29;9619;4804;4815
            29 - 30;9715;4977;4738
            30 - 31;9094;4660;4434
            31 - 32;8813;4475;4338
            32 - 33;8415;4236;4179
            33 - 34;7972;4066;3906
            34 - 35;7957;4012;3945
            35 - 36;8089;4069;4020
            36 - 37;7759;3897;3862
            37 - 38;7584;3743;3841
            38 - 39;7058;3591;3467
            39 - 40;6887;3453;3434
            40 - 41;6724;3317;3407
            41 - 42;6753;3347;3406
            42 - 43;6629;3377;3252
            43 - 44;6566;3306;3260
            44 - 45;6240;3077;3163
            45 - 46;6636;3408;3228
            46 - 47;7024;3547;3477
            47 - 48;7303;3749;3554
            48 - 49;7796;4025;3771
            49 - 50;7965;4082;3883
            50 - 51;7973;4047;3926
            51 - 52;8127;4090;4037
            52 - 53;8047;4081;3966
            53 - 54;8038;4058;3980
            54 - 55;7884;4020;3864
            55 - 56;7496;3745;3751
            56 - 57;7204;3602;3602
            57 - 58;7152;3543;3609
            58 - 59;6779;3323;3456
            59 - 60;6374;3127;3247
            60 - 61;6396;3134;3262
            61 - 62;6155;2974;3181
            62 - 63;5925;2845;3080
            63 - 64;5660;2661;2999
            64 - 65;5351;2535;2816
            65 - 66;5274;2376;2898
            66 - 67;5106;2370;2736
            67 - 68;5135;2441;2694
            68 - 69;4962;2269;2693
            69 - 70;4754;2204;2550
            70 - 71;4443;2049;2394
            71 - 72;4164;1924;2240
            72 - 73;3434;1546;1888
            73 - 74;4326;1947;2379
            74 - 75;4332;1961;2371
            75 - 76;4209;1922;2287
            76 - 77;4965;2106;2859
            77 - 78;4937;2123;2814
            78 - 79;4767;1992;2775
            79 - 80;4514;1894;2620
            80 - 81;4205;1752;2453
            81 - 82;3825;1526;2299
            82 - 83;3530;1408;2122
            83 - 84;3161;1204;1957
            84 - 85;2206;845;1361
            85 - 86;1980;692;1288
            86 - 87;1933;637;1296
            87 - 88;1830;625;1205
            88 - 89;1678;538;1140
            89 - 90;1516;466;1050
            90 - 91;1281;369;912
            91 - 92;1060;302;758
            92 - 93;901;210;691
            93 - 94;647;147;500
            94 - 95;524;117;407
            95 - 96;364;63;301
            96 - 97;278;53;225
            97 - 98;182;42;140
            98 - 99;113;16;97
            99 - 100;52;8;44
            100 und älter;115;11;104
251     Diepholz                 ;;;
 ;;;
            Insgesamt;216012;107287;108725
 ;;;
             0 -  1;1881;957;924
             1 -  2;2024;1059;965
             2 -  3;1845;943;902
             3 -  4;1926;974;952
             4 -  5;1806;935;871
             5 -  6;1855;968;887
             6 -  7;1870;983;887
             7 -  8;1949;1022;927
             8 -  9;1867;938;929
             9 - 10;1975;1037;938
            10 - 11;1980;1004;976
            11 - 12;1986;1008;978
            12 - 13;2026;1023;1003
            13 - 14;2088;1109;979
            14 - 15;2047;1053;994
            15 - 16;2293;1212;1081
            16 - 17;2314;1207;1107
            17 - 18;2396;1275;1121
            18 - 19;2480;1311;1169
            19 - 20;2410;1290;1120
            20 - 21;2428;1313;1115
            21 - 22;2206;1144;1062
            22 - 23;2147;1162;985
            23 - 24;2145;1179;966
            24 - 25;2272;1190;1082
            25 - 26;2134;1114;1020
            26 - 27;2148;1114;1034
            27 - 28;2256;1175;1081
            28 - 29;2390;1251;1139
            29 - 30;2455;1306;1149
            30 - 31;2330;1162;1168
            31 - 32;2238;1187;1051
            32 - 33;2231;1162;1069
            33 - 34;2315;1152;1163
            34 - 35;2285;1148;1137
            35 - 36;2454;1157;1297
            36 - 37;2354;1166;1188
            37 - 38;2319;1141;1178
            38 - 39;2366;1144;1222
            39 - 40;2328;1142;1186
            40 - 41;2375;1213;1162
            41 - 42;2374;1161;1213
            42 - 43;2327;1134;1193
            43 - 44;2398;1175;1223
            44 - 45;2527;1255;1272
            45 - 46;2848;1431;1417
            46 - 47;3142;1558;1584
            47 - 48;3442;1716;1726
            48 - 49;3648;1837;1811
            49 - 50;3947;1931;2016
            50 - 51;4054;2014;2040
            51 - 52;4123;2120;2003
            52 - 53;4011;1972;2039
            53 - 54;4006;2053;1953
            54 - 55;3920;2037;1883
            55 - 56;3681;1916;1765
            56 - 57;3703;1854;1849
            57 - 58;3615;1860;1755
            58 - 59;3482;1744;1738
            59 - 60;3226;1667;1559
            60 - 61;3136;1582;1554
            61 - 62;3062;1554;1508
            62 - 63;2729;1393;1336
            63 - 64;2762;1360;1402
            64 - 65;2715;1353;1362
            65 - 66;2650;1305;1345
            66 - 67;2606;1294;1312
            67 - 68;2696;1317;1379
            68 - 69;2643;1289;1354
            69 - 70;2318;1149;1169
            70 - 71;2198;1067;1131
            71 - 72;2003;950;1053
            72 - 73;1480;701;779
            73 - 74;1981;920;1061
            74 - 75;2022;975;1047
            75 - 76;1936;912;1024
            76 - 77;2370;1121;1249
            77 - 78;2560;1184;1376
            78 - 79;2434;1072;1362
            79 - 80;2251;993;1258
            80 - 81;2000;932;1068
            81 - 82;1767;768;999
            82 - 83;1654;686;968
            83 - 84;1460;604;856
            84 - 85;1012;384;628
            85 - 86;900;349;551
            86 - 87;897;347;550
            87 - 88;806;288;518
            88 - 89;674;229;445
            89 - 90;641;208;433
            90 - 91;481;156;325
            91 - 92;388;114;274
            92 - 93;295;81;214
            93 - 94;232;64;168
            94 - 95;182;44;138
            95 - 96;127;32;95
            96 - 97;100;21;79
            97 - 98;67;11;56
            98 - 99;48;7;41
            99 - 100;13;2;11
            100 und älter;48;4;44
252     Hameln-Pyrmont           ;;;
 ;;;
            Insgesamt;148296;71625;76671
 ;;;
             0 -  1;1249;623;626
             1 -  2;1287;666;621
             2 -  3;1232;607;625
             3 -  4;1264;641;623
             4 -  5;1229;635;594
             5 -  6;1192;594;598
             6 -  7;1209;606;603
             7 -  8;1198;620;578
             8 -  9;1210;621;589
             9 - 10;1278;654;624
            10 - 11;1276;664;612
            11 - 12;1234;634;600
            12 - 13;1318;643;675
            13 - 14;1329;689;640
            14 - 15;1360;695;665
            15 - 16;1433;736;697
            16 - 17;1446;740;706
            17 - 18;1523;760;763
            18 - 19;1508;814;694
            19 - 20;1576;810;766
            20 - 21;1581;836;745
            21 - 22;1497;809;688
            22 - 23;1433;782;651
            23 - 24;1389;714;675
            24 - 25;1478;766;712
            25 - 26;1482;766;716
            26 - 27;1441;723;718
            27 - 28;1613;824;789
            28 - 29;1504;757;747
            29 - 30;1505;769;736
            30 - 31;1463;705;758
            31 - 32;1487;748;739
            32 - 33;1513;775;738
            33 - 34;1491;738;753
            34 - 35;1504;741;763
            35 - 36;1504;748;756
            36 - 37;1570;766;804
            37 - 38;1599;807;792
            38 - 39;1480;733;747
            39 - 40;1610;765;845
            40 - 41;1516;743;773
            41 - 42;1527;750;777
            42 - 43;1487;744;743
            43 - 44;1533;747;786
            44 - 45;1618;807;811
            45 - 46;1847;933;914
            46 - 47;2021;945;1076
            47 - 48;1999;1010;989
            48 - 49;2317;1188;1129
            49 - 50;2565;1205;1360
            50 - 51;2530;1259;1271
            51 - 52;2660;1322;1338
            52 - 53;2529;1297;1232
            53 - 54;2623;1291;1332
            54 - 55;2602;1294;1308
            55 - 56;2610;1309;1301
            56 - 57;2577;1238;1339
            57 - 58;2509;1272;1237
            58 - 59;2343;1120;1223
            59 - 60;2281;1111;1170
            60 - 61;2199;1088;1111
            61 - 62;2175;1046;1129
            62 - 63;2145;1100;1045
            63 - 64;1996;990;1006
            64 - 65;1945;922;1023
            65 - 66;1976;974;1002
            66 - 67;1982;946;1036
            67 - 68;1875;895;980
            68 - 69;1861;868;993
            69 - 70;1770;857;913
            70 - 71;1588;742;846
            71 - 72;1367;640;727
            72 - 73;1205;592;613
            73 - 74;1534;673;861
            74 - 75;1631;752;879
            75 - 76;1570;691;879
            76 - 77;1862;842;1020
            77 - 78;1900;819;1081
            78 - 79;1965;847;1118
            79 - 80;1755;774;981
            80 - 81;1529;675;854
            81 - 82;1440;592;848
            82 - 83;1417;563;854
            83 - 84;1171;465;706
            84 - 85;815;315;500
            85 - 86;756;268;488
            86 - 87;771;282;489
            87 - 88;705;237;468
            88 - 89;623;206;417
            89 - 90;540;149;391
            90 - 91;456;147;309
            91 - 92;421;122;299
            92 - 93;315;86;229
            93 - 94;246;53;193
            94 - 95;177;29;148
            95 - 96;144;28;116
            96 - 97;108;22;86
            97 - 98;77;8;69
            98 - 99;33;4;29
            99 - 100;20;4;16
            100 und älter;42;3;39
254     Hildesheim               ;;;
 ;;;
            Insgesamt;276640;134841;141799
 ;;;
             0 -  1;2209;1123;1086
             1 -  2;2326;1228;1098
             2 -  3;2373;1203;1170
             3 -  4;2299;1196;1103
             4 -  5;2247;1118;1129
             5 -  6;2176;1100;1076
             6 -  7;2155;1120;1035
             7 -  8;2221;1162;1059
             8 -  9;2169;1125;1044
             9 - 10;2312;1136;1176
            10 - 11;2377;1217;1160
            11 - 12;2376;1222;1154
            12 - 13;2437;1285;1152
            13 - 14;2544;1266;1278
            14 - 15;2630;1387;1243
            15 - 16;2668;1387;1281
            16 - 17;2709;1386;1323
            17 - 18;3014;1574;1440
            18 - 19;2922;1534;1388
            19 - 20;3231;1606;1625
            20 - 21;3487;1722;1765
            21 - 22;3388;1671;1717
            22 - 23;3404;1583;1821
            23 - 24;3407;1722;1685
            24 - 25;3399;1728;1671
            25 - 26;3374;1688;1686
            26 - 27;3226;1697;1529
            27 - 28;3223;1688;1535
            28 - 29;3156;1667;1489
            29 - 30;3200;1670;1530
            30 - 31;2986;1531;1455
            31 - 32;2912;1497;1415
            32 - 33;2791;1401;1390
            33 - 34;2965;1508;1457
            34 - 35;2846;1439;1407
            35 - 36;3013;1496;1517
            36 - 37;3063;1496;1567
            37 - 38;3089;1578;1511
            38 - 39;2906;1446;1460
            39 - 40;2994;1461;1533
            40 - 41;2935;1462;1473
            41 - 42;3019;1448;1571
            42 - 43;3007;1502;1505
            43 - 44;3039;1489;1550
            44 - 45;3157;1585;1572
            45 - 46;3432;1745;1687
            46 - 47;3742;1815;1927
            47 - 48;4001;1973;2028
            48 - 49;4420;2286;2134
            49 - 50;4622;2314;2308
            50 - 51;4674;2268;2406
            51 - 52;5073;2553;2520
            52 - 53;4930;2543;2387
            53 - 54;4850;2439;2411
            54 - 55;4793;2393;2400
            55 - 56;4671;2328;2343
            56 - 57;4726;2368;2358
            57 - 58;4441;2208;2233
            58 - 59;4228;2119;2109
            59 - 60;4178;2132;2046
            60 - 61;3928;1943;1985
            61 - 62;3764;1866;1898
            62 - 63;3622;1769;1853
            63 - 64;3544;1670;1874
            64 - 65;3369;1663;1706
            65 - 66;3484;1680;1804
            66 - 67;3319;1639;1680
            67 - 68;3533;1683;1850
            68 - 69;3430;1620;1810
            69 - 70;3070;1480;1590
            70 - 71;2717;1305;1412
            71 - 72;2455;1164;1291
            72 - 73;2043;950;1093
            73 - 74;2752;1266;1486
            74 - 75;2727;1274;1453
            75 - 76;2584;1184;1400
            76 - 77;3264;1429;1835
            77 - 78;3273;1430;1843
            78 - 79;3173;1345;1828
            79 - 80;3022;1282;1740
            80 - 81;2590;1133;1457
            81 - 82;2508;1078;1430
            82 - 83;2244;938;1306
            83 - 84;1960;762;1198
            84 - 85;1391;531;860
            85 - 86;1360;499;861
            86 - 87;1176;407;769
            87 - 88;1234;428;806
            88 - 89;1004;369;635
            89 - 90;907;284;623
            90 - 91;714;212;502
            91 - 92;546;149;397
            92 - 93;524;132;392
            93 - 94;350;89;261
            94 - 95;262;53;209
            95 - 96;219;39;180
            96 - 97;154;21;133
            97 - 98;104;15;89
            98 - 99;52;7;45
            99 - 100;22;7;15
            100 und älter;84;12;72
255     Holzminden               ;;;
 ;;;
            Insgesamt;71144;35219;35925
 ;;;
             0 -  1;536;276;260
             1 -  2;585;280;305
             2 -  3;568;294;274
             3 -  4;535;283;252
