Kreise;Insgesamt;Männlich;Weiblich
0       Niedersachsen            ;;;
 ;;;
            92 - 93;2790;741;2049
            93 - 94;1999;443;1556
            94 - 95;1520;298;1222
            95 - 96;1165;234;931
            96 - 97;848;164;684
            97 - 98;603;101;502
            98 - 99;312;61;251
            99 - 100;130;26;104
            100 und älter;310;49;261
101     Braunschweig,Stadt       ;;;
 ;;;
            Insgesamt;248023;122721;125302
 ;;;
             0 -  1;2291;1163;1128
             1 -  2;2307;1140;1167
             2 -  3;2225;1103;1122
             3 -  4;2033;1032;1001
             4 -  5;2019;996;1023
             5 -  6;1984;1023;961
             6 -  7;1915;1013;902
             7 -  8;1974;965;1009
             8 -  9;1870;960;910
             9 - 10;1971;1026;945
            10 - 11;1982;1016;966
            11 - 12;1898;1012;886
            12 - 13;1851;905;946
            13 - 14;1951;1006;945
            14 - 15;1862;967;895
            15 - 16;1991;1028;963
            16 - 17;1984;1005;979
            17 - 18;2075;1094;981
            18 - 19;2249;1139;1110
            19 - 20;2475;1315;1160
            20 - 21;3022;1575;1447
            21 - 22;3235;1699;1536
            22 - 23;3404;1808;1596
            23 - 24;3730;1941;1789
            24 - 25;3873;2079;1794
            25 - 26;4135;2251;1884
            26 - 27;4257;2330;1927
            27 - 28;4442;2427;2015
            28 - 29;4267;2253;2014
            29 - 30;4331;2355;1976
            30 - 31;4100;2180;1920
            31 - 32;3840;2045;1795
            32 - 33;3684;1937;1747
            33 - 34;3638;2052;1586
            34 - 35;3591;1926;1665
            35 - 36;3441;1825;1616
            36 - 37;3411;1810;1601
            37 - 38;3405;1688;1717
            38 - 39;2964;1503;1461
            39 - 40;3090;1585;1505
            40 - 41;2888;1416;1472
            41 - 42;2923;1458;1465
            42 - 43;2804;1441;1363
            43 - 44;2785;1392;1393
            44 - 45;2850;1397;1453
            45 - 46;2997;1556;1441
            46 - 47;3200;1683;1517
            47 - 48;3341;1665;1676
            48 - 49;3632;1880;1752
            49 - 50;3884;1969;1915
            50 - 51;3864;2007;1857
            51 - 52;3781;1931;1850
            52 - 53;3721;1880;1841
            53 - 54;3769;1912;1857
            54 - 55;3597;1843;1754
            55 - 56;3615;1733;1882
            56 - 57;3429;1691;1738
            57 - 58;3336;1640;1696
            58 - 59;3333;1656;1677
            59 - 60;3119;1500;1619
            60 - 61;3078;1474;1604
            61 - 62;2901;1422;1479
            62 - 63;2860;1417;1443
            63 - 64;2733;1306;1427
            64 - 65;2646;1236;1410
            65 - 66;2612;1171;1441
            66 - 67;2475;1183;1292
