"kreis","kreisnummer","total","age_under_20","age_20_30","age_30_40","age_40_50","age_50_60","age_60_70","age_70_80","age_80_other","variable"
"Osterholz","356","668",5,2,2,23,55,101,214,266,"Männlich"
"Osterholz","356","651",NA,1,1,9,27,71,126,416,"Weiblich"
"Rotenburg (Wümme)","357","1946",12,7,11,52,111,252,449,1052,"Insg"
"Rotenburg (Wümme)","357","1013",NA,7,8,35,75,167,267,448,"Männlich"
"Rotenburg (Wümme)","357","933",6,NA,3,17,36,85,182,604,"Weiblich"
"Heidekreis","358","1713",8,6,7,26,117,197,427,925,"Insg"
"Heidekreis","358","854",5,6,4,15,72,122,253,377,"Männlich"
"Heidekreis","358","859",NA,NA,3,11,45,75,174,548,"Weiblich"
"Stade","359","2168",10,10,15,47,125,247,501,1213,"Insg"
"Stade","359","1048",8,8,9,26,80,155,297,465,"Männlich"
"Stade","359","1120",NA,2,6,21,45,92,204,748,"Weiblich"
"Uelzen","360","1333",6,3,8,22,83,161,339,711,"Insg"
"Uelzen","360","667",NA,2,5,13,50,106,209,279,"Männlich"
"Uelzen","360","666",NA,1,3,9,33,55,130,432,"Weiblich"
"Verden","361","1616",NA,4,13,24,111,198,401,858,"Insg"
"Verden","361","779",NA,3,7,12,65,118,237,332,"Männlich"
"Verden","361","837",NA,1,6,12,46,80,164,526,"Weiblich"
"Weser-Ems","4","27458",156,110,213,525,1763,3316,6368,15007,"Insg"
"Weser-Ems","4","13608",97,77,146,327,1096,2096,3831,5938,"Männlich"
"Weser-Ems","4","13850",59,33,67,198,667,1220,2537,9069,"Weiblich"
"Delmenhorst,Stadt","401","871",NA,2,9,16,63,127,221,427,"Insg"
"Delmenhorst,Stadt","401","436",NA,1,7,10,36,77,136,166,"Männlich"
"Delmenhorst,Stadt","401","435",NA,1,2,6,27,50,85,261,"Weiblich"
"Emden,Stadt","402","630",NA,3,5,13,45,98,140,322,"Insg"
"Emden,Stadt","402","326",NA,2,5,10,24,65,81,136,"Männlich"
"Emden,Stadt","402","304",NA,1,NA,3,21,33,59,186,"Weiblich"
"Oldenburg(Oldb),Stadt","403","1723",NA,7,19,29,107,210,437,904,"Insg"
"Oldenburg(Oldb),Stadt","403","836",NA,4,13,17,60,131,251,357,"Männlich"
"Oldenburg(Oldb),Stadt","403","887",NA,3,6,12,47,79,186,547,"Weiblich"
"Osnabrück,Stadt","404","1597",7,3,19,30,94,165,363,916,"Insg"
"Osnabrück,Stadt","404","737",5,1,10,20,56,97,200,348,"Männlich"
"Osnabrück,Stadt","404","860",NA,2,9,10,38,68,163,568,"Weiblich"
"Wilhelmshaven,Stadt","405","1186",NA,1,10,18,92,170,277,617,"Insg"
"Wilhelmshaven,Stadt","405","597",NA,1,5,9,57,115,159,251,"Männlich"
"Wilhelmshaven,Stadt","405","589",NA,NA,5,9,35,55,118,366,"Weiblich"
"Ammerland","451","1304",8,12,9,18,75,135,319,728,"Insg"
"Ammerland","451","657",5,9,7,11,45,79,187,314,"Männlich"
"Ammerland","451","647",3,3,2,7,30,56,132,414,"Weiblich"
"Aurich","452","2442",15,9,16,49,170,323,589,1271,"Insg"
"Aurich","452","1211",10,7,6,29,106,206,359,488,"Männlich"
"Aurich","452","1231",NA,2,10,20,64,117,230,783,"Weiblich"
"Cloppenburg","453","1608",NA,10,14,32,112,186,348,895,"Insg"
"Cloppenburg","453","789",NA,6,10,20,69,123,206,351,"Männlich"
"Cloppenburg","453","819",NA,4,4,12,43,63,142,544,"Weiblich"
"Emsland","454","3210",16,12,26,82,225,396,740,1713,"Insg"
"Emsland","454","1587",NA,9,22,57,144,235,454,654,"Männlich"
"Emsland","454","1623",4,3,4,25,81,161,286,1059,"Weiblich"
"Friesland","455","1226",NA,3,5,24,81,123,299,685,"Insg"
"Friesland","455","644",NA,2,3,15,53,76,190,300,"Männlich"
"Friesland","455","582",NA,1,2,9,28,47,109,385,"Weiblich"
"Grafschaft Bentheim","456","1464",7,6,14,27,73,186,335,816,"Insg"
"Grafschaft Bentheim","456","714",5,5,9,15,45,118,198,319,"Männlich"
"Grafschaft Bentheim","456","750",NA,1,5,12,28,68,137,497,"Weiblich"
"Leer","457","1953",12,6,10,45,123,274,471,1012,"Insg"
"Leer","457","974",NA,3,8,20,79,181,287,389,"Männlich"
"Leer","457","979",5,3,2,25,44,93,184,623,"Weiblich"
"Oldenburg","458","1439",10,4,6,26,89,164,342,798,"Insg"
"Oldenburg","458","737",9,2,3,15,57,105,216,330,"Männlich"
"Oldenburg","458","702",NA,2,3,11,32,59,126,468,"Weiblich"
"Osnabrück","459","3762",21,15,32,56,232,399,792,2215,"Insg"
"Osnabrück","459","1861",NA,12,24,36,156,264,478,878,"Männlich"
"Osnabrück","459","1901",8,3,8,20,76,135,314,1337,"Weiblich"
"Vechta","460","1131",13,10,11,21,64,106,248,658,"Insg"
"Vechta","460","526",7,8,7,17,35,69,147,236,"Männlich"
"Vechta","460","605",NA,2,4,4,29,37,101,422,"Weiblich"
"Wesermarsch","461","1173",NA,2,5,24,68,150,280,637,"Insg"
"Wesermarsch","461","595",NA,2,4,17,40,91,178,258,"Männlich"
"Wesermarsch","461","578",NA,NA,1,7,28,59,102,379,"Weiblich"
"Wittmund","462","739",NA,5,3,15,50,104,167,393,"Insg"
"Wittmund","462","381",NA,3,3,9,34,64,104,163,"Männlich"
"Wittmund","462","358",NA,2,NA,6,16,40,63,230,"Weiblich"
