kreis,kreisnummer,total,age_under_20,age_20_30,age_30_40,age_40_50,age_50_60,age_60_70,age_70_80,age_over_80,insgesamt,age_under_20,age_20_30,age_30_40,age_40_50,age_50_60,age_60_70,age_70_80,age_over_80,SR_under_20,SR_20_30,SR_30_40,SR_40_50,SR_50_60,SR_60_70,SR_70_80,SR_over_80,PopProp_under_20,PopProp_20_30,PopProp_30_40,PopProp_40_50,PopProp_50_60,PopProp_60_70,PopProp_70_80,PopProp_over_80,SMR_under_20,SMR_20_30,SMR_30_40,SMR_40_50,SMR_50_60,SMR_60_70,SMR_70_80,PopProp_over_80,SMR
Holzminden,255,1056,0,2,6,13,54,126,254,597,71144,12298,7505,7126,8533,12006,9960,7874,5842,0,26.64890073,84.19870895,152.3497012,449.7751124,1265.060241,3225.806452,10219.10305,0.172860677,0.105490273,0.10016305,0.11993984,0.168756325,0.139997751,0.110676937,0.082115147,0,2.81119982,8.43359946,18.27279883,75.90239514,177.1055887,357.0223772,839.1431463,1478.691105
Nienburg (Weser),256,1591,8,7,17,34,91,201,330,903,121470,23455,12982,12882,15720,21278,15709,11338,8106,34.10786613,53.92081343,131.9670859,216.2849873,427.6717737,1279.521294,2910.566237,11139.89637,0.193092945,0.106874125,0.106050877,0.12941467,0.175170824,0.129324113,0.093339919,0.066732527,6.58598831,5.762739771,13.99522516,27.99045032,74.91561702,165.4729563,271.6720178,743.3934305,1309.788425
Schaumburg,257,2277,15,9,13,45,132,251,497,1315,157883,28614,15790,16341,20355,27544,20610,16930,11699,52.42189138,56.99810006,79.55449483,221.0759027,479.2332268,1217.85541,2935.617247,11240.27695,0.181235472,0.100010767,0.103500694,0.128924583,0.174458301,0.130539703,0.107231304,0.074099175,9.500706219,5.700423731,8.23394539,28.50211866,83.60621473,158.9784841,314.7900661,832.8952452,1442.207204
Lüneburg,3,20297,111,62,127,369,1302,2411,4817,11098,1706464,328348,179045,188583,225336,289095,216260,173770,106027,33.8055965,34.6281661,67.34435235,163.7554585,450.3709853,1114.86174,2772.055015,10467.14516,0.192414255,0.104921639,0.110510975,0.132048493,0.169411719,0.126729893,0.101830452,0.062132574,6.504678681,3.633243948,7.442290022,21.62366156,76.2981229,141.286309,282.2796145,650.3506666,1189.418587
Celle,351,2234,16,9,15,29,141,254,498,1272,178764,34853,18690,20134,22235,29224,23350,18490,11788,45.90709552,48.1540931,74.50084434,130.4250056,482.4801533,1087.794433,2693.347756,10790.63454,0.194966548,0.104551252,0.112628941,0.124381867,0.163478105,0.13061914,0.103432458,0.065941688,8.950347945,5.034570719,8.390951198,16.22250565,78.87494126,142.0867736,278.5795798,711.5526616,1249.692332
Cuxhaven,352,2730,19,10,18,41,187,341,631,1483,198100,36536,18887,20167,25560,33379,27783,22109,13679,52.00350339,52.94647112,89.25472306,160.4068858,560.2324815,1227.369255,2854.041341,10841.43578,0.184432105,0.095340737,0.10180212,0.129025745,0.168495709,0.14024735,0.11160525,0.069050984,9.591115598,5.047955578,9.08632004,20.69661787,94.39676931,172.1352852,318.525997,748.6118122,1378.091873
Harburg,353,2591,14,4,14,42,164,263,636,1454,251511,48733,24269,28243,34735,44174,29878,26503,14976,28.72796668,16.48193168,49.56980491,120.9155031,371.2591117,880.2463351,2399.728333,9708.867521,0.193760909,0.096492798,0.112293299,0.138105292,0.175634465,0.118794009,0.105375113,0.059544115,5.566356939,1.590387697,5.566356939,16.69907082,65.20589557,104.5679911,252.8716438,578.1059278,1030.173631
Lüchow-Dannenberg,354,740,5,1,5,15,57,94,163,400,48357,8353,4181,4694,5740,8369,7211,5925,3884,59.85873339,23.91772303,106.5189604,261.3240418,681.0849564,1303.563999,2751.054852,10298.66117,0.172736109,0.086461112,0.097069711,0.118700498,0.173066981,0.149120086,0.122526211,0.080319292,10.33976467,2.067952933,10.33976467,31.019294,117.8733172,194.3875757,337.0763281,827.1811734,1530.285171
Lüneburg,355,1907,9,5,18,39,124,232,432,1048,182930,36037,22489,21956,25094,30004,21120,16336,9894,24.97433194,22.23309173,81.98214611,155.4156372,413.2782296,1098.484848,2644.46621,10592.27815,0.196998852,0.122937736,0.120024053,0.137178156,0.164019024,0.115453999,0.089301919,0.054086263,4.919914721,2.733285956,9.839829443,21.31963046,67.78549172,126.8244684,236.1559066,572.8967365,1042.475264
Osterholz,356,1319,5,3,3,32,82,172,340,682,113105,21464,10409,11939,15315,20206,14611,12285,6876,23.29481923,28.82121241,25.12773264,208.9454783,405.8200534,1177.195264,2767.602768,9918.557301,0.189770567,0.09202953,0.105556784,0.135405155,0.178648159,0.12918085,0.108615888,0.060793068,4.420671058,2.652402635,2.652402635,28.29229477,72.49900535,152.0710844,300.6056319,602.9795323,1166.173025
